Aggravated Assault,NULL,1
Aggravated Assault,1,534
Aggravated Assault,2,517
Aggravated Assault,3,519
Aggravated Assault,4,579
Aggravated Assault,5,671
Aggravated Assault,6,810
Aggravated Assault,7,956
Aggravated Assault,8,851
Aggravated Assault,9,693
Aggravated Assault,10,565
Aggravated Assault,11,564
Aggravated Assault,12,547
Aircraft,1,5
Aircraft,2,1
Aircraft,3,6
Aircraft,5,3
Aircraft,6,2
Aircraft,7,6
Aircraft,8,5
Aircraft,10,3
Aircraft,11,1
Aircraft,12,4
Arson,1,7
Arson,2,2
Arson,3,11
Arson,4,6
Arson,5,5
Arson,6,15
Arson,7,7
Arson,8,12
Arson,9,10
Arson,10,5
Arson,11,8
Arson,12,6
Assembly or Gathering Violations,1,67
Assembly or Gathering Violations,2,76
Assembly or Gathering Violations,3,64
Assembly or Gathering Violations,4,91
Assembly or Gathering Violations,5,47
Assembly or Gathering Violations,6,58
Assembly or Gathering Violations,7,70
Assembly or Gathering Violations,8,56
Assembly or Gathering Violations,9,150
Assembly or Gathering Violations,10,133
Assembly or Gathering Violations,11,93
Assembly or Gathering Violations,12,50
Auto Theft,1,339
Auto Theft,2,259
Auto Theft,3,257
Auto Theft,4,316
Auto Theft,5,401
Auto Theft,6,527
Auto Theft,7,614
Auto Theft,8,591
Auto Theft,9,466
Auto Theft,10,378
Auto Theft,11,349
Auto Theft,12,354
Auto Theft Recovery,1,94
Auto Theft Recovery,2,73
Auto Theft Recovery,3,90
Auto Theft Recovery,4,86
Auto Theft Recovery,5,78
Auto Theft Recovery,6,97
Auto Theft Recovery,7,109
Auto Theft Recovery,8,109
Auto Theft Recovery,9,89
Auto Theft Recovery,10,72
Auto Theft Recovery,11,75
Auto Theft Recovery,12,79
Ballistics,1,65
Ballistics,2,48
Ballistics,3,55
Ballistics,4,62
Ballistics,5,78
Ballistics,6,110
Ballistics,7,137
Ballistics,8,102
Ballistics,9,103
Ballistics,10,80
Ballistics,11,69
Ballistics,12,72
Biological Threat,9,1
Biological Threat,12,1
Bomb Hoax,1,6
Bomb Hoax,2,14
Bomb Hoax,3,9
Bomb Hoax,4,7
Bomb Hoax,5,10
Bomb Hoax,6,7
Bomb Hoax,7,3
Bomb Hoax,8,5
Bomb Hoax,9,3
Bomb Hoax,10,3
Bomb Hoax,11,4
Bomb Hoax,12,4
Burglary - No Property Taken,1,1
Burglary - No Property Taken,12,1
Commercial Burglary,1,98
Commercial Burglary,2,72
Commercial Burglary,3,71
Commercial Burglary,4,105
Commercial Burglary,5,115
Commercial Burglary,6,131
Commercial Burglary,7,120
Commercial Burglary,8,139
Commercial Burglary,9,123
Commercial Burglary,10,147
Commercial Burglary,11,115
Commercial Burglary,12,101
Confidence Games,1,254
Confidence Games,2,216
Confidence Games,3,252
Confidence Games,4,221
Confidence Games,5,231
Confidence Games,6,276
Confidence Games,7,348
Confidence Games,8,324
Confidence Games,9,256
Confidence Games,10,255
Confidence Games,11,243
Confidence Games,12,271
Counterfeiting,1,92
Counterfeiting,2,98
Counterfeiting,3,101
Counterfeiting,4,97
Counterfeiting,5,129
Counterfeiting,6,124
Counterfeiting,7,177
Counterfeiting,8,142
Counterfeiting,9,134
Counterfeiting,10,125
Counterfeiting,11,119
Counterfeiting,12,116
Criminal Harassment,1,13
Criminal Harassment,2,4
Criminal Harassment,3,9
Criminal Harassment,4,9
Criminal Harassment,5,13
Criminal Harassment,6,8
Criminal Harassment,7,19
Criminal Harassment,8,10
Criminal Harassment,9,12
Criminal Harassment,10,8
Criminal Harassment,11,14
Criminal Harassment,12,12
Disorderly Conduct,1,185
Disorderly Conduct,2,168
Disorderly Conduct,3,201
Disorderly Conduct,4,236
Disorderly Conduct,5,200
Disorderly Conduct,6,251
Disorderly Conduct,7,258
Disorderly Conduct,8,288
Disorderly Conduct,9,246
Disorderly Conduct,10,243
Disorderly Conduct,11,172
Disorderly Conduct,12,163
Drug Violation,1,938
Drug Violation,2,952
Drug Violation,3,1146
Drug Violation,4,921
Drug Violation,5,981
Drug Violation,6,1204
Drug Violation,7,1337
Drug Violation,8,1271
Drug Violation,9,986
Drug Violation,10,1046
Drug Violation,11,926
Drug Violation,12,729
Drug Violation,2015,684
Drug Violation,2016,1236
Drug Violation,2017,1303
Drug Violation,2018,888
Embezzlement,1,22
Embezzlement,2,17
Embezzlement,3,11
Embezzlement,4,19
Embezzlement,5,24
Embezzlement,6,33
Embezzlement,7,28
Embezzlement,8,34
Embezzlement,9,22
Embezzlement,10,23
Embezzlement,11,31
Embezzlement,12,32
Evading Fare,1,32
Evading Fare,2,26
Evading Fare,3,30
Evading Fare,4,39
Evading Fare,5,34
Evading Fare,6,40
Evading Fare,7,40
Evading Fare,8,48
Evading Fare,9,27
Evading Fare,10,43
Evading Fare,11,22
Evading Fare,12,26
Explosives,1,1
Explosives,3,2
